Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('S', 'T')",postal,CCX,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0,0,1,0,1,True,False,0.06729968349158755,0.8297728805936586
"('S', 'T')",postal,X,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0,0,1,0,0,True,False,,
"('G', 'R')",digress,XC,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,19,False,False,0.9791403286978507,0.028449502133712657
"('G', 'R')",digress,CX,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,2,False,False,0.020859671302149177,0.2217029059134322
"('G', 'R')",digress,CCX,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,0,False,False,0.0,0.749847591952855
"('G', 'R')",digress,X,0.8576185523386181,0.14238144766138183,0.0,0,XC,0.25,0.25,0.25,0,0,False,False,,
"('L',)",dilate,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,15,True,False,0.7100076394194041,0.13603371575743387
"('L',)",dilate,CX,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,6,True,False,0.2899923605805959,0.863966284242566
"('L',)",dilate,X,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,0,True,False,,
"('S',)",disarm,XC,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,2,False,True,0.8299696374352563,0.23028785982478095
"('S',)",disarm,CX,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,19,False,True,0.1700303625647437,0.7697121401752189
"('S',)",disarm,X,0.5935656925793876,0.40643430742061243,0,0,XC,0,1,0,0,0,False,True,,
"('F',)",reefer,XC,0.8541418381685908,0.1458581618314093,0,0,XC,1,0,0,0,15,True,False,0.9748269351793581,0.13135593220338984
"('F',)",reefer,CX,0.8541418381685908,0.1458581618314093,0,0,XC,1,0,0,0,6,True,False,0.025173064820641914,0.8686440677966102
"('F',)",reefer,X,0.8541418381685908,0.1458581618314093,0,0,XC,1,0,0,0,0,True,False,,
"('T',)",daytime,XC,0.3417896651459582,0.6582103348540418,0,0,XC,1,0,0,0,21,True,False,0.7754046387452027,0.13074204946996465
"('T',)",daytime,CX,0.3417896651459582,0.6582103348540418,0,0,XC,1,0,0,0,0,True,False,0.22459536125479723,0.8692579505300353
"('T',)",daytime,X,0.3417896651459582,0.6582103348540418,0,0,XC,1,0,0,0,0,True,False,,
"('NG', 'G')",tangle,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,True,0.9787278854254423,0.0
"('NG', 'G')",tangle,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,18,True,True,0.02127211457455771,0.0665317480394637
"('NG', 'G')",tangle,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,3,True,True,0.0,0.9334682519605363
