Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax
"('N', 'D', 'R')",syndrome,CX,0.0,0.5517449729311679,0.4482550270688322,0.0,CX,0.25,0.25,0.25,0.25,21,True,True
"('N', 'D', 'R')",syndrome,CCX,0.0,0.5517449729311679,0.4482550270688322,0.0,CX,0.25,0.25,0.25,0.25,1,True,True
"('N', 'D', 'R')",syndrome,CCCX,0.0,0.5517449729311679,0.4482550270688322,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'D', 'R')",syndrome,X,0.0,0.5517449729311679,0.4482550270688322,0.0,CX,0.25,0.25,0.25,0.25,0,True,True
"('K', 'T')",pectin,XC,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,2,True,True
"('K', 'T')",pectin,CX,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,18,True,True
"('K', 'T')",pectin,CCX,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,2,True,True
"('K', 'T')",pectin,X,0.0,0.4823521675516612,0.5176478324483388,0,CX,0.25,0.25,0.25,0,0,True,True
"('B', 'L')",tabloid,XC,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,8,True,True
"('B', 'L')",tabloid,CX,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,14,True,True
"('B', 'L')",tabloid,CCX,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,0,True,True
"('B', 'L')",tabloid,X,0.8495300193476637,0.1504699806523362,0.0,0,XC,0.25,0.25,0.25,0,0,True,True
"('B', 'L')",tablet,XC,0.8495300193476637,0.1504699806523362,0.0,0,XC,0,0,1,0,5,True,True
"('B', 'L')",tablet,CX,0.8495300193476637,0.1504699806523362,0.0,0,XC,0,0,1,0,17,True,True
"('B', 'L')",tablet,CCX,0.8495300193476637,0.1504699806523362,0.0,0,XC,0,0,1,0,0,True,True
"('B', 'L')",tablet,X,0.8495300193476637,0.1504699806523362,0.0,0,XC,0,0,1,0,0,True,True
"('R', 'G')",target,XC,0.0,0.9607024568951745,0.039297543104825396,0,CX,0.25,0.25,0.25,0,1,True,False
"('R', 'G')",target,CX,0.0,0.9607024568951745,0.039297543104825396,0,CX,0.25,0.25,0.25,0,18,True,False
"('R', 'G')",target,CCX,0.0,0.9607024568951745,0.039297543104825396,0,CX,0.25,0.25,0.25,0,3,True,False
"('R', 'G')",target,X,0.0,0.9607024568951745,0.039297543104825396,0,CX,0.25,0.25,0.25,0,0,True,False
"('N', 'D')",indeed,XC,0.0,0.8386634243321687,0.16133657566783127,0,CX,0,1,0,0,0,True,True
"('N', 'D')",indeed,CX,0.0,0.8386634243321687,0.16133657566783127,0,CX,0,1,0,0,22,True,True
"('N', 'D')",indeed,CCX,0.0,0.8386634243321687,0.16133657566783127,0,CX,0,1,0,0,0,True,True
"('N', 'D')",indeed,X,0.0,0.8386634243321687,0.16133657566783127,0,CX,0,1,0,0,0,True,True
"('S',)",tassel,XC,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,14,True,True
"('S',)",tassel,CX,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,8,True,True
"('S',)",tassel,X,0.5935656925793876,0.40643430742061243,0,0,XC,0.25,0.25,0,0,0,True,True
"('T',)",skittish,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,11,True,True
"('T',)",skittish,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,11,True,True
"('T',)",skittish,X,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,0,True,True
"('R', 'T')",tartan,XC,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,0,True,False
"('R', 'T')",tartan,CX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,21,True,False
"('R', 'T')",tartan,CCX,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,1,True,False
"('R', 'T')",tartan,X,0.0,0.4795027770431103,0.5204972229568897,0,CX,0.25,0.25,0.25,0,0,True,False
"('L',)",talon,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,13,True,True
"('L',)",talon,CX,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,9,True,True
"('L',)",talon,X,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,0,True,True
"('L',)",tally,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,12,True,True
"('L',)",tally,CX,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,9,True,True
"('L',)",tally,X,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,1,True,True
"('P',)",taper,XC,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,19,True,False
"('P',)",taper,CX,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,3,True,False
"('P',)",taper,X,0.8501439384006303,0.14985606159936973,0,0,XC,0.25,0.25,0,0,0,True,False
"('L',)",palace,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,10,True,True
"('L',)",palace,CX,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,12,True,True
"('L',)",palace,X,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,0,True,True
